,query_id,subject_id,pct_identity,alignment_length,mismatches,gap_opens,q_start,q_end,s_start,s_end,evalue,bit_score,gene_name_x,gene_name
14,L2_38262|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.53|FDR=3.32e-11,XM_051428054.1,95.0,60,0,3,1,60,549,605,2.33e-18,91.6,,tmem254
15,L12_87775|AltoANT-MED_digestion-absorcion|FC_ANT_POS=11.76|FDR=4.63e-11,XM_051426151.1,100.0,60,0,0,1,60,1106,1165,1.79e-24,111.0,,loc127377873
16,L12_39581|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.28|FDR=4.73e-11,XM_051386316.1,100.0,60,0,0,1,60,438,497,1.79e-24,111.0,,fabp2
17,L12_66506|AltoANT-MED_digestion-absorcion|FC_ANT_POS=8.65|FDR=6.67e-11,XM_051413564.1,100.0,60,0,0,1,60,367,426,1.79e-24,111.0,,lyz
18,L12_86403|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.88|FDR=1.01e-10,XM_051406384.1,100.0,60,0,0,1,60,532,591,1.79e-24,111.0,,mal2
19,L12_89397|AltoANT-MED_digestion-absorcion|FC_ANT_POS=10.70|FDR=1.18e-10,XM_051404293.1,100.0,60,0,0,1,60,5572,5631,1.79e-24,111.0,,loc127365803
20,L12_85158|AltoANT-MED_digestion-absorcion|FC_ANT_POS=9.05|FDR=1.18e-10,XM_051418546.1,100.0,60,0,0,1,60,812,871,1.79e-24,111.0,,N/A
21,L12_84187|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.94|FDR=1.18e-10,XM_051393016.1,100.0,60,0,0,1,60,809,868,1.79e-24,111.0,,adipor2
22,L12_78943|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.31|FDR=1.27e-10,XM_051429538.1,100.0,60,0,0,1,60,1148,1207,1.79e-24,111.0,,tm4sf5
23,L12_88885|AltoANT-MED_digestion-absorcion|FC_ANT_POS=9.55|FDR=1.28e-10,XM_051388600.1,100.0,60,0,0,1,60,1408,1467,1.79e-24,111.0,,loc127356645
24,L12_88843|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.39|FDR=1.77e-10,XM_051390718.1,96.667,60,2,0,1,60,2713,2772,3.8700000000000004e-21,100.0,,scin
25,L12_82095|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.17|FDR=1.88e-10,XM_051378812.1,100.0,60,0,0,1,60,726,785,1.79e-24,111.0,,loc127351342
26,L12_39962|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.13|FDR=2.01e-10,XM_051423081.1,100.0,57,0,0,1,57,216,272,8.309999999999999e-23,106.0,,loc127376322
27,L3_76941|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.29|FDR=2.03e-10,XM_051382469.1,100.0,60,0,0,1,60,717,776,1.79e-24,111.0,,cfap161
28,L1_81903|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.46|FDR=2.25e-10,XM_051383181.1,100.0,60,0,0,1,60,2391,2450,1.79e-24,111.0,,spire2
29,L12_89668|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.87|FDR=2.93e-10,XM_051395600.1,98.333,60,1,0,1,60,1563,1622,8.309999999999999e-23,106.0,,loc127361035
30,L12_73826|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.68|FDR=3.60e-10,XM_051420001.1,100.0,60,0,0,1,60,1399,1458,1.79e-24,111.0,,mansc1
31,L12_89553|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.21|FDR=3.82e-10,XM_051406250.1,100.0,60,0,0,1,60,1439,1498,1.79e-24,111.0,,gata6
32,L12_75419|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.54|FDR=3.88e-10,XM_051402336.1,100.0,60,0,0,1,60,1250,1309,1.79e-24,111.0,,pcyt1bb
33,L12_72937|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.43|FDR=4.25e-10,XM_051390817.1,100.0,60,0,0,1,60,1156,1215,1.79e-24,111.0,,eepd1
34,L12_87488|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.56|FDR=7.07e-10,XM_051386816.1,100.0,60,0,0,1,60,5404,5463,1.79e-24,111.0,,ppl
35,L12_87137|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.41|FDR=7.78e-10,XM_051409256.1,100.0,60,0,0,1,60,1101,1160,1.79e-24,111.0,,scp2a
36,L12_87980|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.80|FDR=8.22e-10,XM_051402584.1,100.0,60,0,0,1,60,693,752,1.79e-24,111.0,,faxdc2
37,L2_52768|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.74|FDR=9.37e-10,XM_051406666.1,100.0,36,0,0,25,60,1789,1824,3.92e-11,67.6,,epb41l4b
38,L12_89175|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.70|FDR=1.24e-09,XM_051401908.1,100.0,58,0,0,1,58,2731,2788,2.3099999999999999e-23,108.0,,dgat2
39,L12_90042|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.45|FDR=1.29e-09,XM_051397248.1,100.0,58,0,0,1,58,793,850,2.3099999999999999e-23,108.0,,slc19a3a
40,L12_85196|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.47|FDR=1.34e-09,XM_051397376.1,100.0,46,0,0,1,46,2065,2110,1.08e-16,86.1,,wdr81
41,L12_88270|AltoANT-MED_digestion-absorcion|FC_ANT_POS=16.30|FDR=1.39e-09,XM_051423447.1,100.0,60,0,0,1,60,633,692,1.79e-24,111.0,,loc127376503
42,L2_58463|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.77|FDR=2.89e-09,XM_051401654.1,100.0,60,0,0,1,60,2026,2085,1.79e-24,111.0,,stk32a
43,L12_86214|AltoANT-MED_digestion-absorcion|FC_ANT_POS=10.49|FDR=3.06e-09,XM_051392412.1,100.0,60,0,0,1,60,1511,1570,1.79e-24,111.0,,cd36
44,L12_73756|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.86|FDR=3.79e-09,XM_051384715.1,100.0,60,0,0,1,60,595,654,1.79e-24,111.0,,loc127354656
45,L1_74986|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.87|FDR=4.00e-09,XR_007887035.1,100.0,60,0,0,1,60,4816,4875,1.79e-24,111.0,,abc1
46,L12_78219|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.36|FDR=4.24e-09,XM_051405247.1,98.333,60,1,0,1,60,2564,2623,8.309999999999999e-23,106.0,,osr2
47,L1_89155|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.16|FDR=5.14e-09,XM_051421703.1,100.0,60,0,0,1,60,3349,3408,1.79e-24,111.0,,slc4a4a
48,L1_34753|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.84|FDR=5.14e-09,XM_051388956.1,100.0,60,0,0,1,60,3878,3937,1.79e-24,111.0,,loc127356893
49,L12_88408|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.99|FDR=7.70e-09,XM_051429583.1,98.333,60,1,0,1,60,8344,8403,8.309999999999999e-23,106.0,,
50,L12_88335|AltoANT-MED_digestion-absorcion|FC_ANT_POS=9.90|FDR=7.70e-09,XM_051398969.1,98.333,60,1,0,1,60,1848,1907,8.309999999999999e-23,106.0,,fam151a
51,L12_84881|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.13|FDR=7.95e-09,XM_051429584.1,100.0,60,0,0,1,60,3624,3683,1.79e-24,111.0,,zanl
52,L12_84958|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.64|FDR=1.08e-08,XM_051424217.1,100.0,60,0,0,1,60,4808,4867,1.79e-24,111.0,,slc2a1a
53,L2_33818|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.30|FDR=1.09e-08,XM_051396132.1,100.0,60,0,0,1,60,559,618,1.79e-24,111.0,,dpydb
54,L12_81307|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.94|FDR=1.13e-08,XM_051423072.1,100.0,60,0,0,1,60,1278,1337,1.79e-24,111.0,,loc127376322
55,L12_84618|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.56|FDR=1.35e-08,XM_051395902.1,100.0,60,0,0,1,60,1496,1555,1.79e-24,111.0,,slc18b1
56,L1_53088|AltoANT-MED_digestion-absorcion|FC_ANT_POS=13.70|FDR=1.37e-08,XM_051407065.1,100.0,60,0,0,1,60,205,264,1.79e-24,111.0,,apoa2
57,L2_63299|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.19|FDR=1.59e-08,XM_051391675.1,100.0,60,0,0,1,60,711,770,1.79e-24,111.0,,dennd5b
58,L12_76550|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.14|FDR=1.63e-08,XM_051393778.1,100.0,60,0,0,1,60,888,947,1.79e-24,111.0,,agfg1b
59,L1_9399|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.63|FDR=1.64e-08,XM_051411215.1,100.0,56,0,0,1,56,2220,2275,2.99e-22,104.0,,malrd1
60,L12_89586|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.03|FDR=1.70e-08,XM_051412449.1,100.0,60,0,0,1,60,4066,4125,1.79e-24,111.0,,mamdc4
61,L12_81038|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.11|FDR=2.07e-08,XM_051406893.1,100.0,60,0,0,1,60,685,744,1.79e-24,111.0,,loc127367216
62,L12_82238|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.74|FDR=2.11e-08,XM_051388665.1,100.0,60,0,0,1,60,800,859,1.79e-24,111.0,,mmd
63,L1_65902|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.68|FDR=2.16e-08,XM_051412986.1,100.0,29,0,0,1,29,2297,2325,3.05e-07,54.7,,loc127370703
64,L1_13695|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.69|FDR=2.49e-08,XM_051385588.1,98.333,60,0,1,1,60,2818,2876,2.99e-22,104.0,,N/A
65,L12_87183|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.94|FDR=2.49e-08,XM_051428607.1,100.0,60,0,0,1,60,704,763,1.79e-24,111.0,,etnppl
66,L1_23817|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.30|FDR=2.60e-08,XM_051398802.1,100.0,60,0,0,1,60,866,925,1.79e-24,111.0,,aipl1
67,L12_89187|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.58|FDR=2.75e-08,XM_051394778.1,100.0,60,0,0,1,60,2426,2485,1.79e-24,111.0,,tmprss15
68,L12_59925|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.36|FDR=3.71e-08,XM_051378720.1,100.0,60,0,0,1,60,3685,3744,1.79e-24,111.0,,kifc3
69,L1_50292|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.55|FDR=3.82e-08,XM_051414701.1,96.667,60,0,2,1,60,989,1046,1.39e-20,99.0,,loc127371717
70,L1_44787|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.71|FDR=5.05e-08,XM_051377315.1,98.333,60,1,0,1,60,3054,3113,8.309999999999999e-23,106.0,,sec16b
71,L1_89470|AltoANT-MED_digestion-absorcion|FC_ANT_POS=8.40|FDR=5.35e-08,XM_051424476.1,100.0,60,0,0,1,60,2268,2327,1.79e-24,111.0,,slc26a6
72,L1_81852|AltoANT-MED_digestion-absorcion|FC_ANT_POS=5.99|FDR=5.73e-08,XM_051383334.1,100.0,60,0,0,1,60,466,525,1.79e-24,111.0,,N/A
73,L12_81910|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.40|FDR=6.17e-08,XM_051377482.1,100.0,60,0,0,1,60,989,1048,1.79e-24,111.0,,loc127350663
74,L12_89688|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.01|FDR=6.28e-08,XM_051391248.1,100.0,60,0,0,1,60,2386,2445,1.79e-24,111.0,,loc127358264
75,L12_81081|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.25|FDR=7.30e-08,XM_051428773.1,100.0,60,0,0,1,60,486,545,1.79e-24,111.0,,cideb
76,L12_84273|AltoANT-MED_digestion-absorcion|FC_ANT_POS=4.24|FDR=7.84e-08,XM_051382070.1,96.667,60,2,0,1,60,1273,1332,3.8700000000000004e-21,100.0,,loc127353088
77,L12_85635|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.23|FDR=8.00e-08,XM_051410983.1,100.0,60,0,0,1,60,1345,1404,1.79e-24,111.0,,bco1
78,L3_80818|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.56|FDR=8.14e-08,XM_051422124.1,98.333,60,1,0,1,60,6111,6170,8.309999999999999e-23,106.0,,acacb
79,L1_5391|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.19|FDR=8.16e-08,XM_051396132.1,100.0,60,0,0,1,60,788,847,1.79e-24,111.0,,dpydb
80,L12_64530|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.64|FDR=8.87e-08,XM_051396035.1,100.0,60,0,0,1,60,2263,2322,1.79e-24,111.0,,pygl
81,L12_83088|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.75|FDR=8.87e-08,XM_051400873.1,100.0,60,0,0,1,60,993,1052,1.79e-24,111.0,,dhrs1
82,L12_89585|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.15|FDR=8.97e-08,XM_051411215.1,100.0,60,0,0,1,60,4829,4888,1.79e-24,111.0,,malrd1
83,L2_69020|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.99|FDR=9.11e-08,XM_051382759.1,96.667,60,0,2,1,60,145,202,1.39e-20,99.0,,loc127353506
84,L1_36481|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.24|FDR=1.42e-07,XM_051384640.1,100.0,60,0,0,1,60,8609,8668,1.79e-24,111.0,,polq
85,L12_76473|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.24|FDR=1.42e-07,XM_051427274.1,100.0,60,0,0,1,60,920,979,1.79e-24,111.0,,ppa1b
86,L2_49128|AltoANT-MED_digestion-absorcion|FC_ANT_POS=7.17|FDR=1.44e-07,XM_051382759.1,98.333,60,0,1,1,60,292,350,2.99e-22,104.0,,loc127353506
87,L12_82494|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.62|FDR=1.49e-07,XM_051402218.1,100.0,60,0,0,1,60,1476,1535,1.79e-24,111.0,,mogat2
88,L1_48057|AltoANT-MED_digestion-absorcion|FC_ANT_POS=6.25|FDR=1.51e-07,XM_051414968.1,96.429,56,0,2,1,55,679,733,2.33e-18,91.6,,loc127371821
89,L2_56527|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.44|FDR=1.83e-07,XM_051401861.1,100.0,60,0,0,1,60,1239,1298,1.79e-24,111.0,,loc127364379
90,L12_81219|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.59|FDR=1.83e-07,XM_051377662.1,98.333,60,1,0,1,60,774,833,8.309999999999999e-23,106.0,,tm4sf4
91,L1_25658|AltoANT-MED_digestion-absorcion|FC_ANT_POS=1.65|FDR=1.83e-07,XM_051376315.1,98.333,60,1,0,1,60,1834,1893,8.309999999999999e-23,106.0,,pcsk2
92,L12_88023|AltoANT-MED_digestion-absorcion|FC_ANT_POS=2.63|FDR=1.96e-07,XM_051387919.1,98.333,60,1,0,1,60,6253,6312,8.309999999999999e-23,106.0,,evplb
93,L12_76804|AltoANT-MED_digestion-absorcion|FC_ANT_POS=3.73|FDR=2.00e-07,XM_051409785.1,100.0,60,0,0,1,60,902,961,1.79e-24,111.0,,N/A
